Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2003-08-08,78.01486206054688,78.45938811444064,77.62589734042105,77.62589734042105,2210420
2003-08-11,78.57051849365234,79.07060581779187,77.79258915221499,77.93150573789569,2432541
2003-08-12,78.70944213867188,78.90392893630052,77.73703468834336,78.68166589267197,2939485
2003-08-13,77.84813690185547,79.12616219047534,77.37582590047613,79.0150307104999,3200397
2003-08-14,79.3206787109375,79.84856013243557,77.87595992151039,78.34827115298162,4075567
2003-08-15,79.9596939086914,80.51536044078426,79.48738266397615,79.73743083423004,2975000
2003-08-18,82.79353332519531,82.93244989630904,80.48753947495275,80.57088587924679,5415449
2003-08-19,82.93247985839844,83.34922087636551,81.48776115036033,83.07139647970035,4419380
2003-08-20,81.82112121582031,82.90465978973349,81.26545496503306,82.90465978973349,3422434
2003-08-21,83.79374694824219,84.12714149645048,82.29345821239825,82.5157212445371,5111512
2003-08-22,83.01582336425781,84.43275692886267,82.6546436999896,84.18270878852789,4157217
2003-08-25,82.93247985839844,82.93247985839844,82.09898897652559,82.73799305020026,2401471
2003-08-26,83.01582336425781,83.2103013196567,81.68223623111841,82.37681046718687,2933852
2003-08-27,82.65462493896484,82.82132660999606,82.23787518435499,82.3212304428388,2542610
2003-08-28,82.46017456054688,83.07140243049726,81.6822449639048,82.7935691679909,2860194
2003-08-29,82.15454864501953,82.51572831467634,81.40440421282345,82.18233373790203,2739650
2003-09-02,84.57173156738281,84.71064827909075,82.18238889465069,82.65470040689101,5105899
2003-09-03,86.46095275878906,86.84991763075931,84.76618545929247,84.87731701614955,7137725
2003-09-04,87.01656341552734,87.09990982654507,86.15528768189006,86.43312084653078,3942065
2003-09-05,86.2386474609375,86.71095855803158,85.6274197742387,85.96081428172805,3869409
2003-09-08,87.18326568603516,87.57223035003312,85.0161882171074,86.21085844900837,3174209
2003-09-09,86.57205200195312,86.8776614577537,85.8496927290379,86.29421879054335,3373795
2003-09-10,86.21090698242188,86.79434988390653,85.84972720093698,86.2664683394512,3786591
2003-09-11,87.46114349365234,87.93345481031656,86.26646380603846,86.26646380603846,4185928
2003-09-12,87.60004425048828,87.79453108906816,86.48872879834647,87.32221981042287,3470906
2003-09-15,87.23882293701172,88.21123012861905,86.82208205257193,87.51665609059549,2979611
2003-09-16,88.7113265991211,88.98915975374598,86.76651220861868,86.76651220861868,4187139
2003-09-17,88.1279525756836,88.73918068356163,87.46116310123998,88.29465436726589,4003287
2003-09-18,89.21141052246094,89.4058972424397,88.10008690208194,88.26678854121593,4645945
2003-09-19,88.7113265991211,90.07269844165997,87.57222658784367,90.07269844165997,4845071
2003-09-22,87.23882293701172,88.6279798589947,86.68316547578004,87.79448924417926,3874083
2003-09-23,87.68338012695312,87.79451164755797,86.62761741229991,86.96102082005257,2735351
2003-09-24,85.5996322631836,88.04454294074564,85.59963226318361,87.79449485572513,3991622
2003-09-25,84.92872619628906,88.33929235340493,84.81690508464828,86.1867159274551,3966270
2003-09-26,83.50297546386719,84.73301635731356,81.93747129970647,84.20186840388925,4680499
2003-09-29,84.90077209472656,85.7114774118104,83.81050953692589,83.86641564457179,4369113
2003-09-30,83.33521270751953,84.6770741184342,82.8040560799909,84.56525307592658,6017314
2003-10-01,85.62759399414062,85.73941508439715,83.30729079487037,83.33524829264125,4975026
2003-10-02,85.96305084228516,86.38238657503726,85.06847328624318,85.37598793709333,3686621
2003-10-03,86.15875244140625,87.50061445012032,85.963058854219,87.08127867828527,4363354
2003-10-06,86.07488250732422,86.8017240794672,85.90715531426198,86.66194548469701,2811054
2003-10-07,85.68350982666016,86.13080313934753,85.29214041669728,85.48782512167872,3973260
2003-10-08,84.42552185058594,85.68351150884482,84.28574324392868,85.40396319635853,4521749
2003-10-09,84.22981262207031,85.40394735977274,83.8663918724824,85.34803236714696,5582274
2003-10-10,81.96544647216797,82.88797289076906,81.62998312911566,82.88797289076906,8169663
2003-10-13,80.87517547607422,82.60841591854319,80.09241885662757,82.5245434159273,6163377
2003-10-14,81.88155364990234,81.88155364990234,80.12036486012235,80.79129137980232,4466788
2003-10-15,80.6515121459961,82.32883714738547,80.3439975186068,82.21701607401457,4890372
2003-10-16,81.12676239013672,81.46222564522002,80.45582697914347,80.59560556063484,3473160
2003-10-17,79.81287384033203,81.23860869346298,79.44945297597108,81.1267875737234,4441748
2003-10-20,80.45586395263672,80.4558639526367,79.70106460621126,80.37200032553301,3353325
2003-10-21,80.73538208007812,81.07084532659343,80.45582492423551,81.07084532659343,3377509
2003-10-22,79.25375366210938,80.45583715379644,79.11397506294124,80.45583715379644,4186596
2003-10-23,79.36558532714844,80.3160692470355,78.94624947381823,79.25376421309284,3816430
2003-10-24,79.11396026611328,79.39351741216346,78.27529772878884,79.36555991739323,3708280
2003-10-27,78.89034271240234,79.81286912091116,78.63874298265833,79.6730905042946,3465669
2003-10-28,79.7289810180664,79.78489600786716,78.91827597173837,79.61715993929103,4023673
2003-10-29,80.59563446044922,81.49021236227387,79.44945680188731,79.7290140651131,4293723
2003-10-30,80.73538208007812,81.76972931537357,80.48378241998506,81.49018106035736,4369530
2003-10-31,81.09880065917969,81.76972713431454,80.9310645899829,80.9310645899829,3518815
2003-11-03,80.51176452636719,81.7977118148408,80.51176452636717,81.21064872878047,3782272
2003-11-04,80.12037658691406,80.53970349788199,79.39353496713012,80.53970349788199,3966186
2003-11-05,79.47740173339844,79.89673756188948,78.97420229954054,79.42149563009667,3576593
