Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2004-02-06,27.828018188476562,28.033085771615696,27.101974839499878,27.157397253509085,11958200
2004-02-09,27.678386688232422,27.828029805602995,27.55645690366528,27.711641419058257,6028000
2004-02-10,28.14948272705078,28.404429292307952,27.78368918561173,27.833570219182068,6834000
2004-02-11,28.32129669189453,28.376721243285225,27.933335403311958,27.988757840472193,5512900
2004-02-12,28.221532821655273,28.254787550378133,28.07189182797821,28.12731426161932,3112100
2004-02-13,27.999839782714844,28.116228156952232,27.73380830693072,28.071890634769993,4879400
2004-02-17,28.265857696533203,28.326823610233774,27.955486733252673,28.03308105974472,4044700
2004-02-18,28.415494918823242,28.537426721304392,28.132835215658535,28.155005018696702,4900300
2004-02-19,28.448766708374023,28.72588307008787,28.349004649018635,28.57069646985168,4083000
2004-02-20,28.68154525756836,28.72034138153197,28.487564637750314,28.542987067918272,4818700
2004-02-23,28.86996841430664,28.881053317017667,28.531886281421823,28.570682383795916,6017300
2004-02-24,28.875511169433594,29.052865392710622,28.659360841954037,28.764666365557286,6634700
2004-02-25,28.875511169433594,28.93647708010303,28.703700454887848,28.7147853581213,3926500
2004-02-26,28.676000595092773,28.809015258042432,28.648287268934144,28.7369644156439,3928900
2004-02-27,28.764665603637695,28.897680210457615,28.504175670124194,28.75358070069786,4176900
2004-03-01,28.908782958984375,29.00300363502151,28.71480232336433,28.770224758047096,2918600
2004-03-02,28.986373901367188,29.09722087994637,28.736968728121592,28.736968728121592,4276500
2004-03-03,29.058420181274414,29.086131393000368,28.792388743091383,28.986369339402987,3180200
2004-03-04,28.980823516845703,29.01407612014659,28.886602874290766,28.930942497664763,2504500
2004-03-05,28.9420223236084,29.063952038026585,28.786835783267342,28.986359824970673,5184600
2004-03-08,28.975276947021484,29.069497579626727,28.82563390528096,28.881058428645627,2729000
2004-03-09,29.235774993896484,29.285656021583232,28.825641864668786,28.847811680136225,4083500
2004-03-10,29.041208267211914,29.46370575628598,28.93002404777265,29.235779060733666,5141600
2004-03-11,28.74100112915039,29.180177470932527,28.679849724514675,28.963367367043567,5393400
2004-03-12,28.657629013061523,28.66874764947599,28.096151658441027,28.57424242094764,4719300
2004-03-15,28.546430587768555,28.779917595150266,28.47972092308607,28.546430587768555,4683300
2004-03-16,28.463056564331055,28.629831859769943,28.140622488574657,28.49085209346038,4000200
2004-03-17,28.585338592529297,28.68540412837982,28.40744477783094,28.513070688262903,3407900
2004-03-18,28.585338592529297,28.75767415330776,28.401886523911042,28.585338592529297,3309400
2004-03-19,28.312955856323242,28.507526665044878,28.285160329457693,28.407461071798675,3513000
2004-03-22,28.235122680664062,28.32406962374607,27.95160284163477,28.085024316588978,4109300
2004-03-23,28.32962989807129,28.440814115010042,28.21844568113254,28.35186716559155,5507800
2004-03-24,28.235122680664062,28.49084487694203,28.10726158252508,28.340746512866946,3520500
2004-03-25,28.47416114807129,28.51863354859842,28.13505034632161,28.35185833546337,3488500
2004-03-26,28.385221481323242,28.490845315150693,28.318509682488866,28.351865581906054,2929400
2004-03-29,29.024518966674805,29.024518966674805,28.652054402353944,28.76879683708181,4269900
2004-03-30,29.61935806274414,30.019620345968995,29.54152975670871,29.563767021479485,9084200
2004-03-31,29.936233520507812,30.01406395203376,29.49149880081452,29.602683010903448,4994900
2004-04-01,30.10301399230957,30.225314727390828,29.847289646603002,29.858408280821777,4338500
2004-04-02,29.936233520507812,30.297581673131226,29.913998375019965,30.15860194068567,5167300
2004-04-05,30.286460876464844,30.286460876464844,29.808370291699777,29.913996238036688,4730500
