Price,Close,High,Low,Open,Volume
Ticker,BAC,BAC,BAC,BAC,BAC
Date,,,,,
2003-07-03,23.788454055786133,23.999549920674006,23.648713996464267,23.90440809046595,9123800
2003-07-07,24.053058624267578,24.076844640288744,23.821150638959523,23.847908205713836,10966400
2003-07-08,24.225507736206055,24.305782717746027,23.993597445220086,23.993597445220086,9093400
2003-07-09,24.335514068603516,24.6417517014869,23.818180613716628,24.112525236695067,10688400
2003-07-10,24.261180877685547,24.36821568267499,24.10360248932869,24.335510477352695,10835200
2003-07-11,24.641756057739258,24.641756057739258,24.362278214824897,24.380116598656,11561200
2003-07-14,24.81420135498047,25.242340714250673,24.713114155352837,24.796362971130907,23332000
2003-07-15,24.826087951660156,25.09367498205654,24.62093751696301,24.974747160951534,17591800
2003-07-16,24.612028121948242,24.90042746568247,24.409851426119328,24.891508272513025,12721200
2003-07-17,24.237401962280273,24.537694268053595,24.15118159756242,24.433633251704432,11370400
2003-07-18,24.722023010253906,24.722023010253906,24.30875065590004,24.320643662946953,10361800
2003-07-21,24.433637619018555,24.72203696470672,24.30281673601928,24.72203696470672,9352400
2003-07-22,24.73393440246582,24.882593698514565,24.344445504332732,24.424722794481127,9670600
2003-07-23,24.784460067749023,24.873656488119146,24.579309661913268,24.680399089556683,6604600
2003-07-24,24.36821937561035,24.959882443485117,24.314701965005217,24.79933248002942,9175800
2003-07-25,24.83501434326172,24.83501434326172,24.305787767649903,24.424715623243163,7315400
2003-07-28,24.62688446044922,24.82906107011284,24.597153073102103,24.736890820469494,6675600
2003-07-29,24.641756057739258,24.837987353321775,24.418767186410086,24.626891494000038,8460800
2003-07-30,24.603107452392578,24.79636494345503,24.499046424392883,24.641758043260953,7289600
2003-07-31,24.549589157104492,24.915291920652788,24.528776952243057,24.796364063575933,9816000
2003-08-01,24.005495071411133,24.546614651049836,23.954951470782717,24.546614651049836,12767400
2003-08-04,24.261180877685547,24.290912263880532,23.752766688165373,24.005486873361804,11993800
2003-08-05,23.726024627685547,24.246332165412326,23.639801963516092,24.09767286891896,12028200
2003-08-06,23.963869094848633,24.160100380957005,23.63979303964297,23.726015671263927,10170000
2003-08-07,23.94305419921875,23.97278559027815,23.67546714296465,23.844938567198955,9044400
2003-08-08,24.169023513793945,24.183888079239527,23.993604401997345,24.082800868112276,6158400
2003-08-11,23.96683120727539,24.21360597015838,23.815198221022616,24.094678182280887,8421600
2003-08-12,24.210643768310547,24.2284821511257,23.937111312798358,23.96981652686612,7081400
2003-08-13,24.020360946655273,24.290919591513934,23.934138312828214,24.210644597735662,6107400
2003-08-14,24.207672119140625,24.23145814393375,23.877648397306576,24.056041314894845,5994400
2003-08-15,24.23145294189453,24.23145294189453,24.103605921528064,24.20766692220782,3451600
2003-08-18,24.103595733642578,24.186844498999562,23.99061559042363,24.127381743275638,6788600
2003-08-19,24.14524269104004,24.323633393357845,23.934146761988533,24.31471419849608,9750800
2003-08-20,24.293893814086914,24.36822343740808,23.978736937080395,24.145234567444582,7226600
2003-08-21,24.079811096191406,24.43362063747907,23.993588507627233,24.2938806583702,9304400
2003-08-22,23.30381965637207,24.198748839913865,23.262195254194292,24.17199126781092,18321200
2003-08-25,23.089746475219727,23.378143398343116,23.08082501839968,23.339492825559788,14025400
2003-08-26,23.158130645751953,23.250298626468773,22.955954037332248,23.08974868211026,14179600
2003-08-27,23.08083724975586,23.256256366430108,23.039212835974258,23.158140704647582,7649600
